ЖК,Цена,Количество комнат,Количество санузлов,Общая площадь,Площадь кухни,Жилая площадь,Наличие балкона,Этаж,Высота потолков,Отделка
ЖК «TopHills (ТопХиллc)»,27 740 000,2-комн.,1 совмещенный,"53,66","8,1","31,4",Балкона нет,27/27,"2,87",Без отделки
ЖК «TopHills (ТопХиллc)»,27 470 000,2-комн.,1 совмещенный,"53,66","8,1","31,4",Балкона нет,26/27,"2,87",Без отделки
ЖК «TopHills (ТопХиллc)»,35 730 000,2-комн.,"1 совмещенный, 1 раздельный","66,59","9,2","40,5",Балкона нет,25/26,"2,87",Без отделки
ЖК «TopHills (ТопХиллc)»,32 920 000,2-комн.,2 совмещенных,"63,86","9,2","40,5",Балкона нет,26/26,"2,87",Без отделки
ЖК «TopHills (ТопХиллc)»,31 350 000,2-комн.,1 совмещенный,"62,97","13,7","30,2",Балкона нет,27/27,"2,87",Без отделки
ЖК «Фестиваль парк-2»,19 779 093,2-комн.,,"43,1","5,3",29,Балкона нет,16/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,20 665 025,2-комн.,,48,7,"32,3",Балкона нет,12/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,20 996 883,2-комн.,,"41,5",5,"25,5",Балкона нет,2/8,"3,25",Без отделки
ЖК «Фестиваль парк-2»,19 965 781,2-комн.,,"43,1","5,3",29,Балкона нет,20/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,35 182 809,2-комн.,,"64,9","9,1","33,5",Балкона нет,3/3,"3,47",Без отделки
ЖК «Фестиваль парк-2»,20 163 090,2-комн.,,"42,9","5,3",29,Балкона нет,6/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,19 919 151,2-комн.,,"43,1","5,3",29,Балкона нет,19/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,21 491 344,2-комн.,,"39,9",6,23,Балкона нет,17/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,21 882 758,2-комн.,,"47,3","6,8","31,8",Балкона нет,18/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,21 256 681,2-комн.,,"44,2",7,"28,5",Балкона нет,16/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,23 787 723,2-комн.,,"47,6","7,8","30,8",Балкона нет,17/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,22 303 728,2-комн.,,"47,3","6,8","31,8",Балкона нет,17/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,22 361 210,2-комн.,,48,7,"32,3",Балкона нет,23/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,22 491 036,2-комн.,,"47,3","6,8","31,8",Балкона нет,16/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,20 562 452,2-комн.,,"41,8","5,5","25,9",Балкона нет,21/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,22 761 478,2-комн.,,"47,3","6,8","31,8",Балкона нет,21/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,21 109 054,2-комн.,,48,7,"32,3",Балкона нет,20/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,25 131 651,2-комн.,,"48,4",8,"31,3",Балкона нет,33/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,21 890 352,2-комн.,,"44,2",7,"28,5",Балкона нет,16/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,20 766 929,2-комн.,,"42,9","5,3",29,Балкона нет,21/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,21 287 728,2-комн.,,"41,8","5,5","25,9",Балкона нет,19/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,21 917 739,2-комн.,,"47,8",7,"32,3",Балкона нет,16/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,21 976 834,2-комн.,,"47,8",7,"32,3",Балкона нет,5/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,20 442 760,2-комн.,,"42,9","5,3",29,Балкона нет,15/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,20 519 417,2-комн.,,"39,7","5,3","25,6",Балкона нет,16/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,22 124 651,2-комн.,,"47,8",7,"32,3",Балкона нет,20/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,20 477 541,2-комн.,,"39,7","5,3","25,6",Балкона нет,16/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,22 331 518,2-комн.,,"47,8",7,"32,3",Балкона нет,23/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,22 571 370,2-комн.,,"47,3","6,8","31,8",Балкона нет,22/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,22 430 947,2-комн.,,"44,2",7,"28,5",Балкона нет,24/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,20 477 541,2-комн.,,"39,7","5,3","25,6",Балкона нет,16/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,22 331 518,2-комн.,,"47,8",7,"32,3",Балкона нет,23/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,21 052 191,2-комн.,,"43,1","5,3",29,Балкона нет,22/35,"3,1",Без отделки
ЖК «Фестиваль парк-2»,20 524 767,2-комн.,,"42,9","5,3",29,Балкона нет,16/35,"3,1",Без отделки
ЖК «Кутузов GRAD II (Кутузов Град II)»,27 790 000,2-комн.,1 совмещенный,"56,99","10,3","35,5",Балкона нет,29/29,"3,3",Без отделки
ЖК «Кутузов GRAD II (Кутузов Град II)»,35 900 000,2-комн.,1 совмещенный,"62,5","14,2","31,6",Балкона нет,21/30,"3,3",Чистовая
ЖК «Метрополия»,25 850 745,2-комн.,,"52,2",,,Балкона нет,6/30,"2,87",
ЖК «Метрополия»,27 103 018,2-комн.,2 совмещенных,"57,2","24,3","24,3",Балкона нет,30/30,"2,87",
ЖК «Метрополия»,28 109 664,2-комн.,2 совмещенных,"60,8",23,24,Балкона нет,12/30,"2,87",
ЖК «Метрополия»,26 641 868,2-комн.,2 совмещенных,"52,9","19,3","24,2",Балкона нет,25/30,"2,87",
ЖК «Метрополия»,26 478 637,2-комн.,2 совмещенных,"52,5","19,3","24,2",Балкона нет,26/30,"2,87",
ЖК «Метрополия»,26 561 895,2-комн.,2 совмещенных,"52,6","19,3","24,2",Балкона нет,27/30,"2,87",
ЖК «Метрополия»,26 463 330,2-комн.,,"52,9",,,Балкона нет,20/30,"2,87",
ЖК «Метрополия»,28 534 401,2-комн.,2 совмещенных,"61,5",24,"25,1",Балкона нет,5/30,"2,87",
ЖК «Метрополия»,25 935 000,2-комн.,2 совмещенных,"52,5","20,3","22,6",Балкона нет,10/30,"2,87",
ЖК «Метрополия»,25 177 518,2-комн.,2 совмещенных,"52,4","18,2","24,2",Балкона нет,2/30,"2,87",
ЖК «Метрополия»,26 297 458,2-комн.,2 совмещенных,"52,7","19,3","24,2",Балкона нет,18/30,"2,87",
ЖК «Метрополия»,27 161 680,2-комн.,,"57,4",,,Балкона нет,29/30,"2,87",
ЖК «Метрополия»,27 682 682,2-комн.,2 совмещенных,"60,5","22,9","23,9",Балкона нет,5/30,"2,87",
ЖК «Метрополия»,26 071 672,2-комн.,2 совмещенных,"52,4",19,"23,5",Балкона нет,16/30,"2,87",
ЖК «Метрополия»,26 448 945,2-комн.,2 совмещенных,"52,8","19,3","24,2",Балкона нет,21/30,"2,87",
ЖК «Метрополия»,27 852 184,2-комн.,2 совмещенных,"60,6","22,9","23,9",Балкона нет,8/30,"2,87",
ЖК «Метрополия»,28 795 648,2-комн.,2 совмещенных,"61,8",24,"25,1",Балкона нет,8/30,"2,87",
ЖК «Селигер Сити»,32 190 557,2-комн.,,"74,2",,,Балкона нет,37/43,"4,2",
ЖК «Eniteo (Энитео)»,27 629 700,2-комн.,,"41,3",,"14,7",Балкона нет,16/42,"3,02",Предчистовая
ЖК «Eniteo (Энитео)»,26 576 784,2-комн.,1 совмещенный,"47,4",,"16,6",Балкона нет,17/42,"3,02",Предчистовая
ЖК «Eniteo (Энитео)»,23 797 280,2-комн.,,43,,15,Балкона нет,35/42,"3,02",Без отделки
ЖК «Eniteo (Энитео)»,32 006 520,2-комн.,,"46,8",,"16,6",Балкона нет,28/42,"3,02",Без отделки
ЖК «Eniteo (Энитео)»,23 432 640,2-комн.,,43,,15,Балкона нет,26/42,"3,02",Без отделки
ЖК «Eniteo (Энитео)»,31 063 560,2-комн.,,"46,6",,"15,6",Балкона нет,37/42,"3,1",Без отделки
ЖК «Eniteo (Энитео)»,21 691 936,2-комн.,,"41,6",,15,Балкона нет,23/42,"3,02",Без отделки
ЖК «Eniteo (Энитео)»,28 603 750,2-комн.,,"46,7",,"15,5",Балкона нет,15/42,"3,02",Без отделки
ЖК «Eniteo (Энитео)»,31 226 500,2-комн.,1 совмещенный,"47,5",,"15,8",Балкона нет,12/42,"3,02",Предчистовая
ЖК «Eniteo (Энитео)»,24 696 411,2-комн.,,"47,1",,"16,6",Балкона нет,35/42,"3,02",Без отделки
ЖК «Ever (Эвер)»,28 775 411,2-комн.,,"59,3",,"31,3",Балкона нет,6/34,3,Без отделки
ЖК «Ever (Эвер)»,31 411 085,2-комн.,,"62,7",,"36,5",Балкона нет,34/34,"3,8",Без отделки
ЖК «Ever (Эвер)»,26 522 134,2-комн.,,"47,48",,"23,8",Балкона нет,34/34,"3,8",
ЖК «balance (баланс)»,22 259 409,2-комн.,"1 совмещенный, 2 раздельных","50,3","13,2",24,Балкона нет,6/30,"2,65",Чистовая
ЖК «balance (баланс)»,25 998 500,2-комн.,2 совмещенных,"63,8","17,6","26,9",Балкона нет,10/12,"2,65",
ЖК «balance (баланс)»,19 379 859,2-комн.,2 раздельных,"41,8","14,2","17,1",Балкона нет,24/30,"2,65",Чистовая
ЖК «balance (баланс)»,23 743 200,2-комн.,2 совмещенных,52,"18,7","18,8",Балкона нет,2/12,"2,65",Чистовая
ЖК «balance (баланс)»,21 033 820,2-комн.,"1 совмещенный, 1 раздельный","45,4","15,4","19,8",Балкона нет,6/9,"2,65",Чистовая
ЖК «balance (баланс)»,24 119 840,2-комн.,2 совмещенных,"50,8","18,8","18,9",Балкона нет,4/12,"2,65",Чистовая
ЖК «balance (баланс)»,21 262 080,2-комн.,2 раздельных,"45,2","15,3","19,7",Балкона нет,9/9,"2,65",Чистовая
ЖК «balance (баланс)»,21 034 650,2-комн.,"1 совмещенный, 1 раздельный","45,5","15,5","19,8",Балкона нет,5/9,"2,65",Чистовая
ЖК «balance (баланс)»,24 069 040,2-комн.,2 совмещенных,"50,8","18,8","18,9",Балкона нет,3/12,"2,65",Чистовая
ЖК «balance (баланс)»,21 082 620,2-комн.,"1 совмещенный, 1 раздельный","45,3","15,5","19,7",Балкона нет,8/9,"2,65",Чистовая
ЖК «balance (баланс)»,24 229 530,2-комн.,2 совмещенных,"50,7","18,7","18,9",Балкона нет,7/12,"2,65",Чистовая
ЖК «Павелецкая Сити»,39 892 400,2-комн.,,58,,"23,3",Балкона нет,18/41,3,Предчистовая
ЖК «Павелецкая Сити»,36 453 000,2-комн.,,58,,"24,1",Балкона нет,4/27,3,Предчистовая
ЖК «Павелецкая Сити»,38 083 892,2-комн.,,"58,3",,"24,1",Балкона нет,17/27,3,Предчистовая
ЖК «Павелецкая Сити»,39 882 816,2-комн.,,"57,6",,"23,3",Балкона нет,24/41,3,Предчистовая
ЖК «Павелецкая Сити»,39 609 765,2-комн.,,"58,5",,"25,3",Балкона нет,18/41,3,Предчистовая
ЖК «Павелецкая Сити»,40 792 591,2-комн.,,"58,1",,"24,8",Балкона нет,32/41,3,Предчистовая
ЖК «Павелецкая Сити»,39 699 149,2-комн.,,"58,1",,"24,8",Балкона нет,24/41,3,Предчистовая
ЖК «Павелецкая Сити»,40 678 272,2-комн.,,"57,6",,"23,3",Балкона нет,31/41,3,Предчистовая
ЖК «Павелецкая Сити»,41 083 091,2-комн.,,"58,1",,"23,4",Балкона нет,36/41,3,Предчистовая
ЖК «Талисман на Рокоссовского»,19 829 639,2-комн.,2 совмещенных,"55,6","10,6","27,2",Балкона нет,19/29,3,Неизвестно
ЖК «Талисман на Рокоссовского»,22 320 000,2-комн.,2 совмещенных,"55,8","10,6","27,2",Балкона нет,28/29,3,
ЖК «iLove (АйЛав)»,29 909 696,2-комн.,,"71,2",,"53,4",Балкона нет,5/37,3,Без отделки
ЖК «iLove (АйЛав)»,30 713 188,2-комн.,,"71,3",,"53,5",Балкона нет,9/37,3,Без отделки
ЖК «iLove (АйЛав)»,24 480 162,2-комн.,,"53,1",,"39,8",Балкона нет,11/37,3,Без отделки
ЖК «iLove (АйЛав)»,29 586 626,2-комн.,,"71,8",,"53,9",Балкона нет,2/37,3,Без отделки
ЖК «iLove (АйЛав)»,31 401 216,2-комн.,,"75,6",,"56,7",Балкона нет,11/32,3,Без отделки
ЖК «iLove (АйЛав)»,30 443 518,2-комн.,,"74,2",,"55,7",Балкона нет,7/37,3,Без отделки
ЖК «iLove (АйЛав)»,30 116 799,2-комн.,,"74,7",,56,Балкона нет,3/37,3,Без отделки
ЖК «iLove (АйЛав)»,42 478 000,2-комн.,,67,,"50,3",Балкона нет,3/34,3,Чистовая
ЖК «iLove (АйЛав)»,32 041 680,2-комн.,,"79,5",,"59,6",Балкона нет,2/32,3,Без отделки
ЖК «iLove (АйЛав)»,33 474 591,2-комн.,,"71,1",,"53,3",Балкона нет,11/37,3,Без отделки
ЖК «iLove (АйЛав)»,32 424 658,2-комн.,,"74,2",,"55,7",Балкона нет,22/37,3,Без отделки
ЖК «iLove (АйЛав)»,34 084 512,2-комн.,,"81,2",,"60,9",Балкона нет,11/32,3,Без отделки
ЖК «iLove (АйЛав)»,32 644 755,2-комн.,,"74,1",,"55,6",Балкона нет,24/37,3,Без отделки
ЖК «iLove (АйЛав)»,30 522 817,2-комн.,,"71,3",,"53,5",Балкона нет,8/37,3,Без отделки
ЖК «iLove (АйЛав)»,33 085 038,2-комн.,,"74,2",,"55,7",Балкона нет,28/37,3,Без отделки
ЖК «iLove (АйЛав)»,32 702 472,2-комн.,,"78,9",,"59,2",Балкона нет,7/32,3,Без отделки
ЖК «iLove (АйЛав)»,31 845 357,2-комн.,,"74,7",,56,Балкона нет,16/37,3,Без отделки
ЖК «iLove (АйЛав)»,33 259 300,2-комн.,,74,,"55,5",Балкона нет,30/37,3,Без отделки
ЖК «iLove (АйЛав)»,30 943 431,2-комн.,,"71,1",,"53,3",Балкона нет,10/37,3,Без отделки
ЖК «iLove (АйЛав)»,35 871 264,2-комн.,,"80,4",,"60,3",Балкона нет,26/32,3,Без отделки
ЖК «iLove (АйЛав)»,34 058 816,2-комн.,,"80,8",,"60,6",Балкона нет,12/32,3,Без отделки
ЖК «iLove (АйЛав)»,30 345 084,2-комн.,,"75,6",,"56,7",Балкона нет,2/37,3,Без отделки
ЖК «iLove (АйЛав)»,32 563 608,2-комн.,,"78,9",,"59,2",Балкона нет,6/32,3,Без отделки
ЖК «iLove (АйЛав)»,32 771 200,2-комн.,,"78,4",,"58,8",Балкона нет,9/32,3,Без отделки
ЖК «iLove (АйЛав)»,32 952 962,2-комн.,,"74,2",,"55,7",Балкона нет,26/37,3,Без отделки
ЖК «iLove (АйЛав)»,38 088 336,2-комн.,,"80,6",,"60,5",Балкона нет,31/32,3,Без отделки
ЖК «iLove (АйЛав)»,36 102 352,2-комн.,,"80,6",,"60,5",Балкона нет,27/32,3,Без отделки
ЖК «iLove (АйЛав)»,31 313 493,2-комн.,,"74,7",,56,Балкона нет,11/37,3,Без отделки
ЖК «iLove (АйЛав)»,33 613 342,2-комн.,,"74,2",,"55,7",Балкона нет,32/37,3,Без отделки
ЖК «iLove (АйЛав)»,36 386 064,2-комн.,,"80,6",,"60,5",Балкона нет,29/32,3,Без отделки
ЖК «iLove (АйЛав)»,36 244 208,2-комн.,,"80,6",,"60,5",Балкона нет,28/32,3,Без отделки
ЖК «City Bay (Сити Бэй)»,33 110 893,2-комн.,,"70,4",,"29,7",Балкона нет,47/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,26 828 025,2-комн.,,"60,1","14,9","24,9",Балкона нет,2/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,36 828 731,2-комн.,,"65,1","18,1","29,3",Балкона нет,13/20,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,37 885 615,2-комн.,,"65,2",,"29,3",Балкона нет,18/20,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,35 005 597,2-комн.,,"65,5",,"25,8",Балкона нет,3/20,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,26 579 310,2-комн.,,"57,9",,"24,9",Балкона нет,3/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 260 007,2-комн.,,"58,5","19,1",26,Балкона нет,45/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,29 738 600,2-комн.,,"67,3",20,"29,7",Балкона нет,37/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 903 401,2-комн.,,"68,1",,"29,9",Балкона нет,43/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,31 400 684,2-комн.,,68,,"29,9",Балкона нет,49/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 937 211,2-комн.,,"58,7",,26,Балкона нет,52/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,34 283 167,2-комн.,,"66,4","18,8","25,8",Балкона нет,2/20,"2,85",Неизвестно
ЖК «City Bay (Сити Бэй)»,29 071 970,2-комн.,1 совмещенный,"64,5",,"33,1",Балкона нет,42/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 691 333,2-комн.,,"58,7",,26,Балкона нет,49/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,35 205 029,2-комн.,1 совмещенный,"64,7",,"30,1",Балкона нет,3/20,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,27 335 687,2-комн.,,"58,2","19,4","24,9",Балкона нет,13/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,29 242 029,2-комн.,,"64,4","16,4","33,1",Балкона нет,47/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,38 319 003,2-комн.,,"65,6","18,8","25,8",Балкона нет,13/20,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,27 598 432,2-комн.,1 совмещенный,"57,8","19,4","24,9",Балкона нет,18/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,34 903 263,2-комн.,1 совмещенный,"66,1","18,8","25,8",Балкона нет,2/20,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 246 517,2-комн.,,"62,1","21,3","29,6",Балкона нет,51/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,31 488 537,2-комн.,,"67,8",,"29,9",Балкона нет,51/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 285 042,2-комн.,1 совмещенный,"62,7",,"29,6",Балкона нет,45/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,27 954 455,2-комн.,,"58,2","19,4","24,9",Балкона нет,20/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,31 127 994,2-комн.,,"67,8","20,8","29,9",Балкона нет,47/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,38 776 283,2-комн.,,"65,7",,"25,8",Балкона нет,17/20,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,29 188 608,2-комн.,,64,,"33,1",Балкона нет,50/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,28 967 525,2-комн.,,"65,1",,"29,9",Балкона нет,38/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,28 029 835,2-комн.,,"58,1",,"24,9",Балкона нет,21/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 421 263,2-комн.,,"58,5","19,1",26,Балкона нет,47/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 406 889,2-комн.,,"67,7",,29,Балкона нет,39/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 418 030,2-комн.,,"62,8","21,3","29,6",Балкона нет,47/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 697 631,2-комн.,,"58,4","19,5",26,Балкона нет,51/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,31 084 596,2-комн.,,"68,1","20,2","29,9",Балкона нет,45/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 586 991,2-комн.,,"67,8","20,8","29,9",Балкона нет,41/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,29 049 492,2-комн.,,"57,5",,"25,4",Балкона нет,29/52,"2,85",Предчистовая
ЖК «City Bay (Сити Бэй)»,30 564 526,2-комн.,,"57,9",,"25,4",Балкона нет,37/52,"2,85",Предчистовая
ЖК «Интонация»,39 345 000,2-комн.,2 совмещенных,75,"15,9",33,Балкона нет,7/21,"3,1",Без отделки
ЖК «Интонация»,37 508 100,2-комн.,"2 совмещенных, 1 раздельный","74,2","14,2","33,5",Балкона нет,2/21,"3,1",Без отделки
ЖК «Интонация»,38 764 598,2-комн.,2 совмещенных,"71,6","15,5",30,Балкона нет,15/21,"3,1",Без отделки
ЖК «Интонация»,41 928 400,2-комн.,2 совмещенных,74,"14,3","31,5",Балкона нет,9/21,"3,1",Без отделки
ЖК «Интонация»,41 638 690,2-комн.,2 совмещенных,74,"14,3","31,5",Балкона нет,16/21,"3,1",Без отделки
ЖК «Интонация»,42 532 500,2-комн.,2 совмещенных,75,"15,9",33,Балкона нет,17/21,"3,1",Без отделки
ЖК «Интонация»,40 960 040,2-комн.,"2 совмещенных, 1 раздельный","73,3","16,8","32,6",Балкона нет,13/21,"3,1",Без отделки
ЖК «Интонация»,41 662 000,2-комн.,2 совмещенных,74,"14,3","31,5",Балкона нет,8/21,"3,1",Без отделки
ЖК «Интонация»,41 796 000,2-комн.,3 совмещенных,72,"19,5","28,5",Балкона нет,18/21,"3,1",Без отделки
ЖК «Интонация»,42 048 000,2-комн.,3 совмещенных,72,"19,5","28,5",Балкона нет,19/21,"3,1",Без отделки
ЖК «Интонация»,39 501 720,2-комн.,2 совмещенных,"71,6","15,5",30,Балкона нет,12/21,"3,1",Без отделки
ЖК «Интонация»,40 163 625,2-комн.,2 совмещенных,75,"15,9",33,Балкона нет,16/21,"3,1",Без отделки
ЖК «Интонация»,41 760 000,2-комн.,2 совмещенных,75,"15,9",33,Балкона нет,14/21,"3,1",Без отделки
ЖК «Интонация»,43 016 200,2-комн.,2 совмещенных,74,"14,3","31,5",Балкона нет,13/21,"3,1",Без отделки
ЖК «Интонация»,40 642 500,2-комн.,2 совмещенных,75,"15,9",33,Балкона нет,12/21,"3,1",Без отделки
ЖК «Интонация»,42 158 625,2-комн.,2 совмещенных,75,"15,9",33,Балкона нет,20/21,"3,1",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,34 270 200,2-комн.,1 совмещенный,"72,3","15,5","40,7",Балкона нет,44/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,30 844 800,2-комн.,"1 совмещенный, 1 раздельный","64,8","15,9","15,2",Балкона нет,42/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,27 216 000,2-комн.,1 совмещенный,"56,7","10,6",,Балкона нет,43/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,27 451 000,2-комн.,1 совмещенный,"56,6","10,5",,Балкона нет,45/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,32 709 600,2-комн.,"1 совмещенный, 1 раздельный","69,3","12,1",48,Балкона нет,34/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,33 808 500,2-комн.,"1 совмещенный, 1 раздельный","68,3","12,1",48,Балкона нет,31/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,33 057 200,2-комн.,1 совмещенный,"68,3",15,38,Балкона нет,31/47,"3,05",
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,34 776 300,2-комн.,1 совмещенный,"72,3","15,5","40,7",Балкона нет,45/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,32 619 900,2-комн.,"1 совмещенный, 1 раздельный","68,1","12,1",48,Балкона нет,23/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,31 691 200,2-комн.,"1 совмещенный, 1 раздельный","68,3","12,1",48,Балкона нет,29/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,28 406 700,2-комн.,1 совмещенный,"56,7","10,5",,Балкона нет,47/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,31 298 400,2-комн.,"1 совмещенный, 1 раздельный","64,8",16,"16,2",Балкона нет,46/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,32 140 800,2-комн.,"1 совмещенный, 1 раздельный","64,8",16,"16,2",Балкона нет,47/47,"3,05",Без отделки
ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,31 168 800,2-комн.,"1 совмещенный, 1 раздельный","64,8",14,"16,2",Балкона нет,45/47,"3,05",Без отделки
ЖК «Will Towers»,25 706 184,2-комн.,,"55,6",6,"37,2",Балкона нет,37/52,"3,1",
ЖК «Will Towers»,24 285 845,2-комн.,,"55,1","7,3","35,9",Балкона нет,14/52,"3,1",
ЖК «Will Towers»,25 615 484,2-комн.,,"55,2","7,3","35,9",Балкона нет,18/52,"3,1",
ЖК «Will Towers»,23 614 480,2-комн.,,"47,7","4,9","32,8",Балкона нет,18/56,"3,1",
ЖК «Will Towers»,25 099 320,2-комн.,,55,"6,2","36,8",Балкона нет,14/52,"3,1",
ЖК «Will Towers»,23 880 221,2-комн.,,55,"7,3","35,9",Балкона нет,11/52,"3,1",
ЖК «Will Towers»,24 355 848,2-комн.,,55,"7,3","35,9",Балкона нет,7/52,"3,1",
ЖК «Will Towers»,23 275 856,2-комн.,,"52,2","6,3","34,3",Балкона нет,14/52,"3,1",
ЖК «Will Towers»,51 644 081,2-комн.,,"96,7",7,"60,8",Балкона нет,49/52,"3,7",
ЖК «Will Towers»,27 675 869,2-комн.,,"55,5","6,1","36,7",Балкона нет,47/52,"3,1",
ЖК «Will Towers»,40 755 944,2-комн.,,"75,9","6,1","44,8",Балкона нет,39/56,"3,1",
ЖК «Will Towers»,28 802 592,2-комн.,,"55,6",6,"37,2",Балкона нет,28/52,"3,1",
ЖК «Will Towers»,34 538 235,2-комн.,,78,"5,6","54,3",Балкона нет,41/52,"3,1",
ЖК «Will Towers»,25 103 047,2-комн.,,55,"6,2","36,8",Балкона нет,23/52,"3,1",
ЖК «Will Towers»,24 307 025,2-комн.,,"49,8","4,9","33,5",Балкона нет,11/56,"3,1",
ЖК «Will Towers»,24 687 277,2-комн.,,"55,1","7,3","35,9",Балкона нет,7/52,"3,1",
ЖК «Will Towers»,31 902 063,2-комн.,,"55,7","6,2","37,1",Балкона нет,48/52,"3,1",
ЖК «Will Towers»,26 329 696,2-комн.,,"51,3",5,"31,7",Балкона нет,10/52,"3,1",
ЖК «Will Towers»,25 518 359,2-комн.,,"49,2","5,7","16,5",Балкона нет,9/56,"3,1",
ЖК «Will Towers»,56 054 400,2-комн.,,"97,1",7,"60,8",Балкона нет,52/52,"3,7",
ЖК «Will Towers»,25 864 096,2-комн.,,"55,2","5,9","36,8",Балкона нет,37/52,"3,1",
ЖК «Will Towers»,26 432 940,2-комн.,,"51,3",6,"33,3",Балкона нет,35/56,"3,1",
